network,autonomous_system_number,autonomous_system_organization
2001:dc6::/32,4622,"Indonesia Network Information Center"
2001:dc7::/32,24151,"China Internet Network Infomation Center"
2001:dc8::/47,23902,"Vietnam Internet network information center (VNNIC)"
2001:dc8:1000::/48,38736,"Vietnam Internet network information center (VNNIC)"
2001:dc8:2002::/48,131122,"Vietnam Internet network information center (VNNIC)"
2001:dc8:2003::/48,131123,"Vietnam Internet network information center (VNNIC)"
2001:dc8:9000::/48,131415,"Vietnam Internet network information center (VNNIC)"
2001:dc8:c000::/47,24066,"Vietnam Internet Network Information Center"
2001:dc8:d000::/48,38737,"Vietnam Internet network information center (VNNIC)"
2001:dc9::/32,24252,"Japan Registry Service Co., Ltd."
2001:dca:1000::/36,9735,"Hong Kong Domain Name Registration Co. Ltd"
2001:dca:2000::/35,9735,"Hong Kong Domain Name Registration Co. Ltd"
2001:dca:4000::/36,9735,"Hong Kong Domain Name Registration Co. Ltd"
2001:dcc:4::/48,23599,"Korea Internet Security Agency"
2001:dcc:5::/48,23596,"Korea Internet Security Agency"
2001:dcc:6::/48,131100,"Korea Internet Security Agency"
2001:dcc:401::/48,23599,"Korea Internet Security Agency"
2001:dcc:500::/47,23596,"Korea Internet Security Agency"
2001:dcc:502::/48,23596,"Korea Internet Security Agency"
2001:dcc:600::/48,131100,"Korea Internet Security Agency"
2001:dcc:651::/48,131100,"Korea Internet Security Agency"
2001:dcc:700::/48,23600,"Korea Internet Security Agency"
2001:dcc:702::/47,23600,"Korea Internet Security Agency"
2001:dcc:1000::/48,23600,"Korea Internet Security Agency"
2001:dcd:1::/48,397215,ULTRADNS
2001:dcd:2::/47,397213,ULTRADNS
2001:dcd:4::/48,397213,ULTRADNS
2001:dcd:5::/48,397215,ULTRADNS
2001:dcd:6::/47,397213,ULTRADNS
2001:dcd:9::/48,38796,"AusRegistry Pty Ltd"
2001:dcd:11::/48,38796,"AusRegistry Pty Ltd"
2001:dcd:12::/48,38796,"AusRegistry Pty Ltd"
2001:dcd:21::/48,58620,"AusRegistry Anycast system"
2001:dcd:22::/48,16509,AMAZON-02
2001:dcd:23::/48,14618,AMAZON-AES
2001:dcd:30::/48,38796,"AusRegistry Pty Ltd"
2001:dcd:35::/48,134388,"AusRegistry Anycast system"
2001:dcd:40::/48,38796,"AusRegistry Pty Ltd"
2001:dce::/47,38037,"Internet NZ Office Connection"
2001:dce:2::/48,133745,Internet
2001:dce:3::/48,133532,"ASN for .nz InternetNZ Registry Content"
2001:dce:4::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5::/48,133532,"ASN for .nz InternetNZ Registry Content"
2001:dce:6::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:10::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:20::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:40::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:80::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:100::/48,38064,"ASN for anycast peering of"
2001:dce:101::/48,45285,"ASN for anycast peering"
2001:dce:102::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:104::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:108::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:110::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:120::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:140::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:180::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:200::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:400::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:800::/37,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:1000::/36,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:2000::/35,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:4000::/36,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5000::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5100::/48,38064,"ASN for anycast peering of"
2001:dce:5101::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5102::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5104::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5108::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5110::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5120::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5140::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5180::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5200::/48,38064,"ASN for anycast peering of"
2001:dce:5201::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5202::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5204::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5208::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5210::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5220::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5240::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5280::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5300::/48,45285,"ASN for anycast peering"
2001:dce:5301::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5302::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5304::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5308::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5310::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5320::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5340::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5380::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5400::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:5800::/37,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:6000::/36,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7000::/48,38064,"ASN for anycast peering of"
2001:dce:7001::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7002::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7004::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7008::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7010::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7020::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7040::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7080::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7100::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7200::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7400::/48,45285,"ASN for anycast peering"
2001:dce:7401::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7402::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7404::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7408::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7410::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7420::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7440::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7480::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7500::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7600::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7800::/48,38064,"ASN for anycast peering of"
2001:dce:7801::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7802::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7804::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7808::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7810::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7820::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7840::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7880::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7900::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7a00::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:7c00::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8000::/48,38064,"ASN for anycast peering of"
2001:dce:8001::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8002::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8004::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8008::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8010::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8020::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8040::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8080::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8100::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8200::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8400::/48,45285,"ASN for anycast peering"
2001:dce:8401::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8402::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8404::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8408::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8410::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8420::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8440::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8480::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8500::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8600::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8800::/48,38064,"ASN for anycast peering of"
2001:dce:8801::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8802::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8804::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8808::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8810::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8820::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8840::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8880::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8900::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8a00::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:8c00::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9000::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9400::/48,45285,"ASN for anycast peering"
2001:dce:9401::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9402::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9404::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9408::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9410::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9420::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9440::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9480::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9500::/48,38064,"ASN for anycast peering of"
2001:dce:9501::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9502::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9504::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9508::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9510::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9520::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9540::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9580::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9600::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:9800::/37,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:a000::/35,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:c000::/36,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d000::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d400::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d440::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d450::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d452::/47,38064,"ASN for anycast peering of"
2001:dce:d454::/48,38064,"ASN for anycast peering of"
2001:dce:d455::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d456::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d458::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d460::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d480::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d500::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d600::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:d800::/37,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e000::/48,38037,"Internet NZ Office Connection"
2001:dce:e001::/48,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e002::/47,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e004::/46,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e008::/45,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e010::/44,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e020::/43,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e040::/42,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e080::/41,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e100::/40,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e200::/39,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e400::/38,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:e800::/37,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dce:f000::/36,23869,"InternetNZ infrastructure for NZ TLD SRS and DNS servers"
2001:dd8::/48,24390,"University of the South Pacific"
2001:dd8:1::/48,38283,"CHINANET SiChuan Telecom Internet Data Center"
2001:dd8:2::/48,45220,"Internet Systems Consortium, Auckland"
2001:dd8:5::/48,55439,"Internet Systems Consortium, (Beijing, China)"
2001:dd8:6::/48,18368,"APNIC DNS Anycast"
2001:dd8:7::/48,187,DNSCAST-AS
2001:dd8:8::/46,4608,"Asia Pacific Network Information Centre"
2001:dd8:c::/47,4608,"Asia Pacific Network Information Centre"
2001:dd8:e::/48,4608,"Asia Pacific Network Information Centre"
2001:dd8:10::/47,56266,"Netnod anycast AS for APNIC"
2001:dd8:12::/48,18366,"ANYCAST AS"
2001:dd8:13::/48,23710,"Internet Systems Consortium, Inc."
2001:dd8:14::/48,23708,"Internet Systems Consortium"
2001:dd8:15::/48,23709,"Internet Systems Consortium, Inc."
2001:dd8:17::/48,1280,ISC-AS-1280
2001:dd8:18::/47,1280,ISC-AS-1280
2001:dd8:1a::/48,1280,ISC-AS-1280
2001:dd8:1c::/48,1280,ISC-AS-1280
2001:dd8:1f::/48,56088,"Pengelola Nama Domain Internet Indonesia"
2001:dd8:22::/48,23712,"Internet Systems Consortium, Inc."
2001:dd8:25::/48,45494,"NREN ASN for Misc. Root Servers and Community"
2001:dd9::/48,24302,CRIS-CERNET
2001:dda::/48,18149,"Japan Registry Service Co., Ltd."
2001:ddc::/48,133874,"MYNIC Berhad"
2001:ddd::/48,18369,"APNIC ANYCAST"
2001:dde::/48,24082,"DHIVEHI RAAJJEYGE GULHUN PLC"
2001:de1::/42,7667,"KDDI R&D Laboratories, INC."
2001:de4::/48,131621,"Taiwan Network Information Center"
2001:de8:b::/48,9825,"Sustainable Development Networking Program"
2001:de8:16::/48,55943,ONATI
2001:de9:4000::/48,23676,"Mariana Islands Internet Exchange"
2001:dea:4001::/48,7615,"Bhutan Internet Exchange"
2001:deb::/48,63528,"Bangkok Neutral Internet Exchange"
2001:dec::/48,132797,"Vanuatu Internet Exchange (VIX)"
2001:df0::/48,9431,"The University of Auckland"
2001:df0:4::/48,681,"The University of Waikato"
2001:df0:7::/48,8075,MICROSOFT-CORP-MSN-AS-BLOCK
2001:df0:8::/48,18149,"Japan Registry Service Co., Ltd."
2001:df0:d::/48,24088,"Hanoi Telecom Joint Stock Company - HCMC Branch"
2001:df0:13::/48,38244,"VNG Corporation"
2001:df0:18::/48,45344,"International Islamic University Of Malaysia"
2001:df0:1a::/48,38244,"VNG Corporation"
2001:df0:1e::/50,38794,UIH
2001:df0:1e:4000::/64,45796,"UIH / BB Connect"
2001:df0:1e:4001::/64,38794,UIH
2001:df0:1e:4002::/63,38794,UIH
2001:df0:1e:4004::/62,38794,UIH
2001:df0:1e:4008::/61,38794,UIH
2001:df0:1e:4010::/60,38794,UIH
2001:df0:1e:4020::/59,38794,UIH
2001:df0:1e:4040::/58,38794,UIH
2001:df0:1e:4080::/57,38794,UIH
2001:df0:1e:4100::/56,38794,UIH
2001:df0:1e:4200::/55,38794,UIH
2001:df0:1e:4400::/54,38794,UIH
2001:df0:1e:4800::/53,38794,UIH
2001:df0:1e:5000::/52,38794,UIH
2001:df0:1e:6000::/51,38794,UIH
2001:df0:1e:8000::/49,38794,UIH
2001:df0:43::/48,38629,"NTT Communications Corporation"
2001:df0:44::/48,17990,"GLOBALNET COMMUNICATION LTD."
2001:df0:45::/48,37918,"Nippon Telegraph and Telephone Corporation"
2001:df0:46::/48,24287,"National Institute of Informatics"
2001:df0:4b::/48,45881,"CardGate.net Pty Ltd"
2001:df0:4c::/48,7575,"Australian Academic and Research Network (AARNet)"
2001:df0:62::/48,38040,"TOT Public Company Limited"
2001:df0:65::/48,38567,"PT. Rekayasa Industri"
2001:df0:66::/48,45894,"FPT Online JSC"
2001:df0:68::/48,45689,"Convivial Net"
2001:df0:69::/48,41625,"Express Teleservice Corp"
2001:df0:71::/48,45665,"EdIT Counsel"
2001:df0:75::/48,23767,A-STAR
2001:df0:86::/48,18055,"Department of Human Services"
2001:df0:92::/48,55479,"IIT Kanpur"
2001:df0:93::/48,45128,"Australian Nuclear Science and Technology Organisation"
2001:df0:95::/48,7667,"KDDI R&D Laboratories, INC."
2001:df0:96::/48,45770,"Bagian Administrasi Pembangunan Pemerintah Kota Surabaya"
2001:df0:99::/48,45304,"PetraNet, Surabaya, Indonesia"
2001:df0:a1::/48,55532,"Squiz Pty Ltd"
2001:df0:a3::/48,45305,"Lintas Data Prima, PT"
2001:df0:a5::/48,55552,"NETWORK BOX CORPORATION LTD"
2001:df0:a6::/48,55536,"PACSWITCH IP NETWORK"
2001:df0:a8::/48,46052,"Politeknik Elektronika Negeri Surabaya"
2001:df0:b5::/48,46049,"Universitas Diponegoro"
2001:df0:b6::/48,63510,"Syiah Kuala University (Unsyiah)"
2001:df0:bc::/48,45731,"ARDH GLOBAL INDONESIA, PT"
2001:df0:bd::/48,45292,"Lembaga Ilmu Pengetahuan Indonesia - LIPI"
2001:df0:be::/48,7467,"Sententia Internet"
2001:df0:c0::/48,55741,"West Bengal Electronics Industry Development"
2001:df0:c2::/48,9749,"GPK Computers Pty Ltd, Internet Service Provider, Melbourne"
2001:df0:c8::/48,139612,"ContentKeeper Technologies"
2001:df0:cb::/48,45786,"PT. Hawk Teknologi Solusi"
2001:df0:ce::/48,24101,"University of New England"
2001:df0:cf::/48,55390,"Tokyo University of Science"
2001:df0:d1::/48,55857,"Harvest Electronics NZ Limited"
2001:df0:d4::/48,55870,"Darwin City Council"
2001:df0:d7::/48,8075,MICROSOFT-CORP-MSN-AS-BLOCK
2001:df0:d8::/47,8075,MICROSOFT-CORP-MSN-AS-BLOCK
2001:df0:dc::/48,38590,"GodZone Internet Services"
2001:df0:e3::/48,9536,"Cloud Network Services (HK) Ltd"
2001:df0:e4::/48,56026,"GPO Box 656"
2001:df0:e9::/48,55680,"Kantor Sistem Informasi Universitas Atma Jaya Yogyakarta"
2001:df0:eb::/48,38635,"Keio University"
2001:df0:ee::/48,55951,"Blok 9 Kompleks Bangunan Kerajaan"
2001:df0:f4::/48,45658,"SCTV Tower - Senayan City"
2001:df0:f8::/48,9555,"Verizon Australia PTY Limited"
2001:df0:fe::/48,56098,"Level 5"
2001:df0:201::/48,1221,"Telstra Corporation Ltd"
2001:df0:206::/48,37990,"NRG Gladstone Operating Services, Electricity Generation, Gladstone, QLD, Australia"
2001:df0:20b::/48,38549,"Viewbank Rise Networks"
2001:df0:213::/48,17477,"Macquarie Telecom"
2001:df0:214::/48,132696,"SGIX Services"
2001:df0:217::/48,56201,"Zoho Corporation Pvt. Ltd"
2001:df0:218::/48,38830,"Levart Distribution Systems Pty Ltd"
2001:df0:21a::/48,23855,"Singapore Advanced Research and Education Network"
2001:df0:21e::/48,55396,"NRI SecureTechnologies, Ltd"
2001:df0:220::/48,55684,"Universitas Sebelas Maret"
2001:df0:22b::/48,38574,"LCSD, HKSARG"
2001:df0:230::/48,56237,"Universitas Lampung"
2001:df0:232::/48,9355,"National Institute of Information and Communications Technology"
2001:df0:237::/48,131460,"9 UM Tower"
2001:df0:23b::/48,18188,"Ateneo de Manila University"
2001:df0:23e::/48,9752,"Flipkart Internet Pvt Ltd"
2001:df0:245::/48,132020,"NineWire Pty Ltd"
2001:df0:246::/48,9555,"Verizon Australia PTY Limited"
2001:df0:247::/48,58631,"Vista Entertainment Solutions Ltd."
2001:df0:248::/48,23883,Movaci
2001:df0:24f::/48,58436,"SECUREAX PTE LTD"
2001:df0:251::/48,18055,"Department of Human Services"
2001:df0:258::/47,33517,DYNDNS
2001:df0:25b::/48,33517,DYNDNS
2001:df0:25e::/48,131159,"Yamagata University"
2001:df0:264::/48,132043,"4th Floor New Administrative Building"
2001:df0:266::/48,55901,"Sony Computer Entertainment Inc"
2001:df0:26b::/48,58505,"Kohen Technology Group Pty Ltd"
2001:df0:26f::/48,58476,"DIREKTORAT JENDERAL PAJAK"
2001:df0:270::/48,9836,"Hindustan Petroleum Corporation Limited"
2001:df0:272::/48,132111,"Bigband Sdn Bhd"
2001:df0:273::/48,58477,"Argon Data Communication"
2001:df0:27b::/48,58487,"Rumahweb Indonesia CV."
2001:df0:293::/48,4725,"SoftBank Corp."
2001:df0:295::/48,58516,"Amsterdam Internet Exchange"
2001:df0:296::/48,58516,"Amsterdam Internet Exchange"
2001:df0:29f::/48,58445,"Dutch-Bangla Bank Limited, Your Trusted Partner"
2001:df0:2b4::/48,2526,"Global Solution 2nd Office. IT Strategy & Digital Integration Division. Hitachi, Ltd."
2001:df0:2b7::/48,9555,"Verizon Australia PTY Limited"
2001:df0:2ba::/48,132277,"105 Tampines Road # 03-06/07"
2001:df0:2bf::/48,198723,"University of Reading"
2001:df0:2c1::/48,58624,"End 2 End Limited"
2001:df0:2c5::/48,58629,"Global Fair Communications Ltd."
2001:df0:2c7::/48,132405,"Summit Internet (Australia)"
2001:df0:2c8::/48,56178,"Tim Warnock"
2001:df0:2ca::/48,17944,"Japan Weather Association"
2001:df0:2cc::/48,55909,"Kochi National College of Technology"
2001:df0:2d0::/45,58637,"CERT Australia, Attorney-General's Department"
2001:df0:2e1::/48,58381,"Wow Internet Indonesia"
2001:df0:2e4::/48,18123,"INAOKI EDUCATIONAL INSTITUTION"
2001:df0:2e8::/48,45896,"Mobifone Global JSC"
2001:df0:2ea::/48,38605,"Rakon, Auckland"
2001:df0:2ed::/48,17932,"Japan Advanced Institute of Science and Technology"
2001:df0:2ee::/48,55384,"Japan Advanced Institute of Science and Technology"
2001:df0:2f3::/48,132351,"National Payment Corporation Of India"
2001:df0:2f5::/48,55912,"University of Kochi"
2001:df0:2fc::/48,58404,"PT Qwords Company International"
2001:df0:2fd::/48,17436,"ICICIBANK Ltd, Banking, Mumbai"
2001:df0:301::/48,18402,"NATIONAL LIBRARY BOARD"
2001:df0:302::/48,132237,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:30a::/48,10024,"LGA International"
2001:df0:30e::/48,17547,"M1 NET LTD"
2001:df0:30f::/48,9255,"Singapore Telecom"
2001:df0:310::/48,17547,"M1 NET LTD"
2001:df0:311::/48,9255,"Singapore Telecom"
2001:df0:312::/47,135008,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:314::/46,133387,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:318::/47,136601,"GOVERNMENT TECHNOLOGY AGENCY"
2001:df0:400::/48,56172,"Agora Communications Pte Ltd"
