network,autonomous_system_number,autonomous_system_organization
2804:2b0::/32,53098,"NEWNET CONSULTORIA, INFORMATICA LTDA"
2804:2b4::/32,28265,"ABCREDE PROVEDOR DE INTERNET EIRELI"
2804:2b8::/32,28130,"CERTTO TELECOMUNICACOES LTDA EPP."
2804:2bc::/32,262832,"Infotechnet Informatica e Assistencia Tecnica Ltda"
2804:2d0::/32,53230,"Clean Net Telecom Ltda"
2804:2d4:10::/44,28244,"Sendnet Provider Ltda"
2804:2d4:400::/38,28244,"Sendnet Provider Ltda"
2804:2d4:fc00::/48,28244,"Sendnet Provider Ltda"
2804:2d8::/32,52532,"Speednet Telecomunicacoes Ltda ME"
2804:2dc:8000::/33,28277,"VMAX NET TELECOMUNICACOES DO BRASIL LTDA"
2804:2e4::/32,53234,"SILVEIRA & ZIQUINATTI LTDA"
2804:2e8::/32,262847,"Hoinaski & Sklasky Ltda"
2804:2ec::/32,262848,"Naja Telecomunicacoes Ltda."
2804:2f0::/32,53236,"JF Solucoes Informatica Ltda."
2804:2f4::/32,53118,"NETLINE TELECOM"
2804:2f8::/32,28188,"Pronto Net Ltda."
2804:2fc::/32,53238,"Chapeco Tecnologia em Telecomunicacoes Ltda."
2804:300:2001::/48,53237,"TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS"
2804:300:c000::/34,53237,"TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS"
2804:301:4000::/35,53237,"TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS"
2804:301:8000::/34,53237,"TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS"
2804:302:4000::/35,53237,"TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS"
2804:30c::/32,28343,"Unifique Telecomunicacoes SA"
2804:310::/32,262688,"Qnet Telecom"
2804:314::/32,61568,"ALOO TELECOM - FSF TECNOLOGIA SA"
2804:31c::/32,52962,"Vipnet Baixada Telecom. e Informatica Ltda"
2804:328::/32,262868,"Itnet ltda"
2804:330::/35,53240,"Net Onze Provedor de Acesso a Internet Eireli"
