"inputIp","seeHttp","yResultLabel"
"2.19.160.0/20",,"vpn"
"2.19.208.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.19.250.0/24",,"vpn"
"2.20.176.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.20.184.0/23",,"vpn"
"2.21.28.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.21.32.0/24",,"vpn"
"2.21.64.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.21.248.0/22",,"vpn"
"2.22.30.0/23",,"vpn"
"2.22.61.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.22.96.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.22.128.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.22.148.0/23",,"vpn"
"2.22.243.0/24",,"vpn"
"2.56.68.0/22",,"vpn"
"2.56.170.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.56.180.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.56.216.0/22",,"vpn"
"2.57.37.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.57.64.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.57.68.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.58.74.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.58.80.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.58.128.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.58.164.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.58.172.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.58.186.0/24",,"vpn"
"2.58.230.0/24",,"vpn"
"2.59.116.0/24",,"vpn"
"2.59.136.0/22",,"vpn"
"2.59.215.0/24",,"vpn"
"2.104.0.0/13","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.152.128.0/23",,"vpn"
"2.152.130.0/23",,"vpn"
"2.152.134.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"2.153.252.0/22",,"vpn"
"2.181.128.0/18",,"vpn"
"2.183.252.0/23",,"vpn"
"2.188.76.0/24",,"vpn"
"2.188.168.0/21",,"vpn"
"2.208.0.0/13",,"vpn"
"3.96.0.0/15",,"vpn"
"4.38.32.0/19",,"vpn"
"5.8.68.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.10.48.0/20",,"vpn"
"5.11.60.0/22",,"vpn"
"5.16.112.0/20",,"vpn"
"5.28.128.0/18",,"vpn"
"5.32.152.0/21",,"vpn"
"5.32.176.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.32.181.0/24",,"vpn"
"5.34.46.0/24",,"vpn"
"5.34.108.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.34.184.0/21",,"vpn"
"5.35.240.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.39.192.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.40.1.0/24",,"vpn"
"5.40.18.0/24",,"vpn"
"5.40.22.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.44.46.0/24",,"vpn"
"5.44.76.0/23",,"vpn"
"5.49.152.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.49.185.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.49.224.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.53.96.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.56.132.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.59.108.0/22",,"vpn"
"5.62.32.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.75.0.0/17","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.100.160.0/21",,"vpn"
"5.100.168.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.0.0/21",,"vpn"
"5.101.16.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.40.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.44.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.46.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.64.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.80.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.112.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.101.152.0/21",,"vpn"
"5.101.176.0/20",,"vpn"
"5.101.208.0/21",,"vpn"
"5.129.128.0/19","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.129.188.0/22",,"vpn"
"5.132.190.0/24",,"vpn"
"5.133.128.0/19",,"vpn"
"5.143.238.0/24",,"vpn"
"5.149.0.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.149.224.0/20",,"vpn"
"5.149.248.0/23",,"vpn"
"5.149.252.0/23",,"vpn"
"5.150.80.0/20",,"vpn"
"5.152.240.0/21",,"vpn"
"5.153.112.0/20",,"vpn"
"5.154.2.0/23",,"vpn"
"5.154.45.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.154.120.0/21",,"vpn"
"5.154.168.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.154.174.0/24",,"vpn"
"5.157.0.0/23",,"vpn"
"5.157.13.0/24",,"vpn"
"5.157.31.0/24",,"vpn"
"5.157.136.0/21",,"vpn"
"5.159.208.0/21","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.160.112.0/22",,"vpn"
"5.160.164.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.160.190.0/23",,"vpn"
"5.160.216.0/24",,"vpn"
"5.160.248.0/21",,"vpn"
"5.172.192.0/21",,"vpn"
"5.175.96.0/19",,"vpn"
"5.181.4.0/22",,"vpn"
"5.182.48.0/24",,"vpn"
"5.182.76.0/23",,"vpn"
"5.183.42.0/23",,"vpn"
"5.183.44.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.183.48.0/22",,"vpn"
"5.183.111.0/24",,"vpn"
"5.183.152.0/23",,"vpn"
"5.188.49.0/24",,"vpn"
"5.188.86.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.188.110.0/23",,"vpn"
"5.188.166.0/24",,"vpn"
"5.188.196.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.189.218.0/23","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.189.229.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.195.20.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.195.192.0/20","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.203.0.0/16","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.206.228.0/24","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.224.0.0/15",,"vpn"
"5.226.14.0/24",,"vpn"
"5.226.140.0/23",,"vpn"
"5.227.192.0/18",,"vpn"
"5.250.160.0/21",,"vpn"
"5.252.64.0/22",,"vpn"
"5.252.124.0/22","//www.ripe.net/db/support/db-terms-conditions.pdf","vpn"
"5.252.156.0/22",,"vpn"
"1.28.148.0/22",,"vpn"
"1.28.232.0/21",,"vpn"
"1.29.0.0/16",,"vpn"
"1.30.64.0/20",,"vpn"
"1.30.104.0/21",,"vpn"
"1.30.180.0/22",,"vpn"
"1.30.184.0/22",,"vpn"
"1.31.40.0/21",,"vpn"
"1.186.160.0/22",,"vpn"
"1.186.164.0/24",,"vpn"
"1.186.224.0/19",,"vpn"
"1.187.16.0/21",,"vpn"
"1.193.160.0/20",,"vpn"
"1.193.190.0/23",,"vpn"
"1.198.8.0/21",,"vpn"
"1.198.128.0/17",,"vpn"
"1.199.64.0/20",,"vpn"
"1.199.88.0/22",,"vpn"
"1.199.92.0/23",,"vpn"
"1.209.93.0/24",,"vpn"
"1.209.112.0/21",,"vpn"
"1.222.208.0/21",,"vpn"
"1.227.62.0/23",,"vpn"
"1.227.64.0/20",,"vpn"
"1.227.80.0/23",,"vpn"
"1.227.83.0/24",,"vpn"
"1.227.84.0/22",,"vpn"
